# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-01-15T04:26:13    88873  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   41.6  44.4  720 0
2020-01-15T04:26:36    88874  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.3  202.469625  47.195172   41.6  44.5  720 0
2020-01-15T05:42:43    88877  Calibration  Cal       NGC5194-HCN-central       2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   30.3  55.3  720 0
2020-01-15T05:43:07    88878  Science      Map(Ra)   NGC5194-HCN-central       2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   30.2  55.3  720 0
2020-01-15T06:14:47    88881  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   22.4  58.7  720 0
2020-01-15T06:15:10    88882  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.2  202.469625  47.195172   22.3  58.7  720 0
2020-01-16T03:22:57    88966  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   45.3  34.4  720 0
2020-01-16T03:23:21    88967  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.3  202.469625  47.195172   45.2  34.8  720 0
2020-01-16T04:33:57    88970  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   40.5  46.2  720 0
2020-01-16T04:34:20    88971  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.2  202.469625  47.195172   40.4  46.3  720 0
2020-01-16T06:53:19    88989  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172    9.0  61.4  720 0
2020-01-16T06:53:42    88990  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172    8.8  61.4  720 0
2020-01-29T02:48:37    90138  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   44.6  37.3  720 0
2020-01-29T02:49:00    90139  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   44.6  37.6  720 0
2020-01-29T03:13:06    90140  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   43.1  41.5  720 0
2020-01-29T03:13:28    90141  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   43.1  41.6  720 0
2020-01-29T03:37:36    90142  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   41.0  45.4  720 0
2020-01-29T03:37:59    90143  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   41.0  45.5  720 0
2020-01-29T04:10:17    90148  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   37.0  50.3  720 0
2020-01-29T04:10:43    90149  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   36.9  50.4  720 0
2020-01-29T04:36:26    90150  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   32.6  53.9  720 0
2020-01-29T04:36:53    90151  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   32.5  53.9  720 0
2020-01-29T05:06:11    90154  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   26.0  57.3  720 0
2020-01-29T05:06:35    90155  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   25.9  57.4  720 0
2020-01-29T05:30:16    90156  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   19.4  59.6  720 0
2020-01-29T05:30:37    90157  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   19.3  59.6  720 0
2020-01-29T06:02:40    90162  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172    8.8  61.4  720 0
2020-01-29T06:03:03    90163  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172    8.7  61.5  720 0
2020-01-30T03:05:48    90267  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   43.4  40.8  720 0
2020-01-30T03:06:13    90268  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   43.3  41.1  720 0
2020-01-30T03:30:22    90269  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   41.3  44.9  720 0
2020-01-30T03:30:45    90270  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   41.3  45.0  720 0
2020-01-30T03:59:29    90274  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   38.0  49.3  720 0
2020-01-30T04:23:00    90275  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   34.3  52.6  720 0
2020-01-30T04:23:23    90276  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   34.3  52.7  720 0
2020-01-30T04:52:56    90279  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   28.3  56.3  720 0
2020-01-30T04:53:22    90280  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   28.2  56.4  720 0
2020-01-30T05:20:04    90281  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   21.2  59.0  720 0
2020-01-30T05:20:29    90282  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   21.1  59.1  720 0
2020-01-30T05:53:38    90286  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   10.6  61.2  720 0
2020-02-11T06:13:22    90380  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  346.9  60.9  720 0
2020-02-11T06:13:44    90381  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172  346.8  60.9  720 0
2020-02-11T06:40:14    90382  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  338.6  59.0  720 0
2020-02-11T06:40:35    90383  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172  338.5  59.0  720 0
2020-02-11T07:04:20    90384  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  332.3  56.6  720 0
2020-02-11T07:04:42    90385  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.2  202.469625  47.195172  332.2  56.6  720 0
2020-02-11T07:32:52    90388  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  326.3  53.1  720 0
2020-02-11T07:33:15    90389  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172  326.3  53.1  720 0
2020-02-12T01:19:20    90441  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.8  31.5  720 0
2020-02-12T01:19:46    90442  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   45.7  31.8  720 0
2020-02-12T01:43:29    90443  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.0  35.8  720 0
2020-02-12T01:43:51    90444  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   45.0  35.9  720 0
2020-02-12T02:07:20    90445  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   43.8  39.8  720 0
2020-02-12T02:07:41    90446  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   43.8  39.9  720 0
2020-02-12T02:36:24    90449  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   41.6  44.5  720 0
2020-02-12T02:36:59    90450  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   41.6  44.5  720 0
2020-02-12T03:01:20    90451  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   38.9  48.3  720 0
2020-02-12T03:01:43    90452  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   38.9  48.4  720 0
2020-02-12T03:25:35    90453  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   35.4  51.8  720 0
2020-02-12T03:25:57    90454  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   35.3  51.8  720 0
2020-02-12T03:54:19    90457  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   30.0  55.5  720 0
2020-02-12T03:54:44    90458  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   29.9  55.5  720 0
2020-02-12T04:18:37    90459  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   24.1  58.1  720 0
2020-02-12T04:19:00    90460  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.2  202.469625  47.195172   24.0  58.1  720 0
